State,Start (Jan 2020),End (Mar 2025),Growth %
Florida,"27,037","34,162",+26.4%
California,"77,799","93,933",+20.7%
Georgia,"20,633","24,526",+18.9%
Arizona,"31,105","31,985",+2.8%
Texas,"49,347","49,781",+0.9%
Ohio,"20,069","20,004",-0.3%
Kansas,"33,088","31,536",-4.7%
Washington,"89,052","81,025",-9.0%
Connecticut,"32,019","28,456",-11.1%
