occupation,employment,year
Other healthcare practitioners and technical occupations,133,2019
Service occupations,26978,2019
Healthcare support occupations,3758,2019
"Nursing, psychiatric, and home health aides",2086,2019
Physical therapist assistants and aides,101,2019
Massage therapists,183,2019
Dental assistants,284,2019
Medical assistants,596,2019
Medical transcriptionists,41,2019
Pharmacy aides,49,2019
Veterinary assistants and laboratory animal caretakers,59,2019
Phlebotomists,124,2019
"Miscellaneous healthcare support occupations, including medical equipment preparers",206,2019
Protective service occupations,3128,2019
First-line supervisors of correctional officers,44,2019
First-line supervisors of police and detectives,83,2019
First-line supervisors of fire fighting and prevention workers,42,2019
"First-line supervisors of protective service workers, all other",78,2019
Firefighters,318,2019
Fire inspectors,21,2019
"Bailiffs, correctional officers, and jailers",372,2019
Detectives and criminal investigators,164,2019
Fish and game wardens,4,2019
Parking enforcement workers,4,2019
Police and sheriff's patrol officers,716,2019
Transit and railroad police,5,2019
Animal control workers,10,2019
Private detectives and investigators,97,2019
Security guards and gaming surveillance officers,937,2019
Crossing guards,52,2019
Transportation security screeners,43,2019
"Lifeguards and other recreational, and all other protective service workers",139,2019
Food preparation and serving related occupations,8378,2019
Chefs and head cooks,474,2019
First-line supervisors of food preparation and serving workers,597,2019
Cooks,2031,2019
Food preparation workers,1079,2019
Bartenders,464,2019
"Combined food preparation and serving workers, including fast food",372,2019
"Counter attendants, cafeteria, food concession, and coffee shop",200,2019
Waiters and waitresses,2038,2019
"Food servers, nonrestaurant",191,2019
Dining room and cafeteria attendants and bartender helpers,338,2019
Dishwashers,264,2019
"Hosts and hostesses, restaurant, lounge, and coffee shop",322,2019
"Food preparation and serving related workers, all other",7,2019
Building and grounds cleaning and maintenance occupations,5746,2019
First-line supervisors of housekeeping and janitorial workers,352,2019
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",285,2019
Janitors and building cleaners,2265,2019
Maids and housekeeping cleaners,1475,2019
Pest control workers,96,2019
Grounds maintenance workers,1273,2019
Personal care and service occupations,5968,2019
First-line supervisors of gaming workers,211,2019
First-line supervisors of personal service workers,213,2019
Animal trainers,63,2019
Nonfarm animal caretakers,296,2019
Gaming services workers,93,2019
Motion picture projectionists,1,2019
"Ushers, lobby attendants, and ticket takers",38,2019
Miscellaneous entertainment attendants and related workers,210,2019
Embalmers and funeral attendants,15,2019
"Morticians, undertakers, and funeral directors",26,2019
Barbers,137,2019
"Hairdressers, hairstylists, and cosmetologists",803,2019
Miscellaneous personal appearance workers,409,2019
"Baggage porters, bellhops, and concierges",92,2019
Tour and travel guides,61,2019
Childcare workers,1193,2019
