occupation,employment,year
Medical records specialists,183,2020
"Opticians, dispensing",40,2020
Miscellaneous health technologists and technicians,185,2020
Other healthcare practitioners and technical occupations,100,2020
Service occupations,22853,2020
Healthcare support occupations,4790,2020
Home health aides,571,2020
Personal care aides,1282,2020
Nursing assistants,1364,2020
Orderlies and psychiatric aides,55,2020
Physical therapist assistants and aides,78,2020
Massage therapists,151,2020
Dental assistants,288,2020
Medical assistants,561,2020
Medical transcriptionists,46,2020
Pharmacy aides,48,2020
Veterinary assistants and laboratory animal caretakers,60,2020
Phlebotomists,101,2020
Other healthcare support workers,147,2020
Protective service occupations,3024,2020
First-line supervisors of correctional officers,51,2020
First-line supervisors of police and detectives,100,2020
First-line supervisors of firefighting and prevention workers,33,2020
First-line supervisors of security workers,68,2020
"First-line supervisors of protective service workers, all other",7,2020
Firefighters,335,2020
Fire inspectors,27,2020
Bailiffs,18,2020
Correctional officers and jailers,346,2020
Detectives and criminal investigators,159,2020
Fish and game wardens,4,2020
Parking enforcement workers,12,2020
Police officers,758,2020
Animal control workers,8,2020
Private detectives and investigators,90,2020
Security guards and gambling surveillance officers,800,2020
Crossing guards and flaggers,46,2020
Transportation security screeners,42,2020
School bus monitors,17,2020
Other protective service workers,102,2020
Food preparation and serving related occupations,6556,2020
Chefs and head cooks,383,2020
First-line supervisors of food preparation and serving workers,466,2020
Cooks,1763,2020
Food preparation workers,808,2020
Bartenders,301,2020
Fast food and counter workers,655,2020
Waiters and waitresses,1388,2020
"Food servers, nonrestaurant",157,2020
Dining room and cafeteria attendants and bartender helpers,231,2020
Dishwashers,184,2020
"Hosts and hostesses, restaurant, lounge, and coffee shop",218,2020
"Food preparation and serving related workers, all other",3,2020
Building and grounds cleaning and maintenance occupations,5084,2020
First-line supervisors of housekeeping and janitorial workers,321,2020
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",253,2020
Janitors and building cleaners,2043,2020
Maids and housekeeping cleaners,1163,2020
Pest control workers,112,2020
Landscaping and groundskeeping workers,1066,2020
Tree trimmers and pruners,109,2020
Other grounds maintenance workers,17,2020
Personal care and service occupations,3399,2020
Supervisors of personal care and service workers,237,2020
Animal trainers,72,2020
Animal caretakers,272,2020
Gambling services workers,64,2020
"Ushers, lobby attendants, and ticket takers",22,2020
Other entertainment attendants and related workers,144,2020
"Embalmers, crematory operators, and funeral attendants",14,2020
"Morticians, undertakers, and funeral arrangers",19,2020
Barbers,102,2020
"Hairdressers, hairstylists, and cosmetologists",646,2020
Manicurists and pedicurists,214,2020
Skincare specialists,72,2020
Other personal appearance workers,19,2020
"Baggage porters, bellhops, and concierges",60,2020
Tour and travel guides,47,2020
Childcare workers,928,2020
Exercise trainers and group fitness instructors,202,2020
Recreation workers,131,2020
Residential advisors,33,2020
"Personal care and service workers, all other",102,2020
Sales and office occupations,29726,2020
Sales and related occupations,14168,2020
First-line supervisors of retail sales workers,3067,2020
First-line supervisors of non-retail sales workers,1176,2020
Cashiers,2552,2020
Counter and rental clerks,69,2020
Parts salespersons,119,2020
Retail salespersons,2751,2020
Advertising sales agents,141,2020
Insurance sales agents,641,2020
"Securities, commodities, and financial services sales agents",242,2020
Travel agents,51,2020
"Sales representatives of services, except advertising, insurance, financial services, and travel",563,2020
"Sales representatives, wholesale and manufacturing",1217,2020
"Models, demonstrators, and product promoters",28,2020
Real estate brokers and sales agents,1037,2020
Sales engineers,35,2020
Telemarketers,48,2020
"Door-to-door sales workers, news and street vendors, and related workers",114,2020
"Sales and related workers, all other",317,2020
Office and administrative support occupations,15558,2020
First-line supervisors of office and administrative support workers,1273,2020
"Switchboard operators, including answering service",12,2020
Telephone operators,23,2020
"Communications equipment operators, all other",8,2020
Bill and account collectors,98,2020
Billing and posting clerks,434,2020
"Bookkeeping, accounting, and auditing clerks",1179,2020
Gambling cage workers,13,2020
Payroll and timekeeping clerks,146,2020
Procurement clerks,34,2020
Tellers,279,2020
"Financial clerks, all other",103,2020
Brokerage clerks,6,2020
Correspondence clerks,4,2020
"Court, municipal, and license clerks",76,2020
"Credit authorizers, checkers, and clerks",55,2020
Customer service representatives,2404,2020
"Eligibility interviewers, government programs",82,2020
File clerks,161,2020
"Hotel, motel, and resort desk clerks",91,2020
"Interviewers, except eligibility and loan",208,2020
"Library assistants, clerical",65,2020
Loan interviewers and clerks,151,2020
New accounts clerks,24,2020
Order clerks,113,2020
"Human resources assistants, except payroll and timekeeping",44,2020
Receptionists and information clerks,1147,2020
Reservation and transportation ticket agents and travel clerks,108,2020
"Information and record clerks, all other",113,2020
Cargo and freight agents,24,2020
Couriers and messengers,578,2020
Public safety telecommunicators,104,2020
"Dispatchers, except police, fire, and ambulance",205,2020
"Meter readers, utilities",25,2020
Postal service clerks,91,2020
Postal service mail carriers,312,2020
"Postal service mail sorters, processors, and processing machine operators",66,2020
"Production, planning, and expediting clerks",244,2020
"Shipping, receiving, and inventory clerks",572,2020
"Weighers, measurers, checkers, and samplers, recordkeeping",58,2020
Executive secretaries and executive administrative assistants,196,2020
Legal secretaries and administrative assistants,54,2020
Medical secretaries and administrative assistants,72,2020
"Secretaries and administrative assistants, except legal, medical, and executive",2080,2020
Data entry keyers,228,2020
Word processors and typists,44,2020
Desktop publishers,0,2020
Insurance claims and policy processing clerks,236,2020
"Mail clerks and mail machine operators, except postal service",62,2020
"Office clerks, general",1227,2020
"Office machine operators, except computer",22,2020
Proofreaders and copy markers,4,2020
Statistical assistants,65,2020
"Office and administrative support workers, all other",535,2020
"Natural resources, construction, and maintenance occupations",13357,2020
"Farming, fishing, and forestry occupations",1045,2020
"First-line supervisors of farming, fishing, and forestry workers",53,2020
Agricultural inspectors,14,2020
Animal breeders,4,2020
"Graders and sorters, agricultural products",36,2020
Miscellaneous agricultural workers,834,2020
Fishing and hunting workers,35,2020
Forest and conservation workers,21,2020
Logging workers,47,2020
Construction and extraction occupations,7710,2020
First-line supervisors of construction trades and extraction workers,737,2020
Boilermakers,19,2020
"Brickmasons, blockmasons, and stonemasons",113,2020
Carpenters,1114,2020
"Carpet, floor, and tile installers and finishers",172,2020
"Cement masons, concrete finishers, and terrazzo workers",55,2020
Construction laborers,1902,2020
Construction equipment operators,359,2020
"Drywall installers, ceiling tile installers, and tapers",165,2020
Electricians,901,2020
Glaziers,45,2020
Insulation workers,53,2020
Painters and paperhangers,524,2020
Pipelayers,49,2020
"Plumbers, pipefitters, and steamfitters",537,2020
Plasterers and stucco masons,24,2020
Reinforcing iron and rebar workers,3,2020
Roofers,210,2020
Sheet metal workers,123,2020
Structural iron and steel workers,47,2020
Solar photovoltaic installers,20,2020
"Helpers, construction trades",47,2020
Construction and building inspectors,116,2020
Elevator and escalator installers and repairers,19,2020
Fence erectors,36,2020
Hazardous materials removal workers,31,2020
Highway maintenance workers,102,2020
Rail-track laying and maintenance equipment operators,5,2020
Septic tank servicers and sewer pipe cleaners,7,2020
Miscellaneous construction and related workers,22,2020
"Derrick, rotary drill, and service unit operators, oil and gas",22,2020
"Excavating and loading machine and dragline operators, surface mining",5,2020
"Earth drillers, except oil and gas",25,2020
"Explosives workers, ordnance handling experts, and blasters",6,2020
Underground mining machine operators,39,2020
"Roustabouts, oil and gas",6,2020
Other extraction workers,50,2020
"Installation, maintenance, and repair occupations",4602,2020
"First-line supervisors of mechanics, installers, and repairers",226,2020
"Computer, automated teller, and office machine repairers",190,2020
Radio and telecommunications equipment installers and repairers,140,2020
Avionics technicians,9,2020
"Electric motor, power tool, and related repairers",19,2020
"Electrical and electronics installers and repairers, transportation equipment",3,2020
"Electrical and electronics repairers, industrial and utility",9,2020
"Electronic equipment installers and repairers, motor vehicles",5,2020
Audiovisual equipment installers and repairers,29,2020
Security and fire alarm systems installers,63,2020
Aircraft mechanics and service technicians,153,2020
Automotive body and related repairers,121,2020
Automotive glass installers and repairers,15,2020
Automotive service technicians and mechanics,750,2020
Bus and truck mechanics and diesel engine specialists,357,2020
Heavy vehicle and mobile equipment service technicians and mechanics,191,2020
Small engine mechanics,48,2020
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",84,2020
Control and valve installers and repairers,28,2020
"Heating, air conditioning, and refrigeration mechanics and installers",450,2020
Home appliance repairers,38,2020
Industrial and refractory machinery mechanics,399,2020
"Maintenance and repair workers, general",584,2020
"Maintenance workers, machinery",24,2020
Millwrights,57,2020
Electrical power-line installers and repairers,127,2020
Telecommunications line installers and repairers,131,2020
Precision instrument and equipment repairers,73,2020
Wind turbine service technicians,5,2020
"Coin, vending, and amusement machine servicers and repairers",29,2020
Commercial divers,6,2020
Locksmiths and safe repairers,28,2020
Manufactured building and mobile home installers,5,2020
Riggers,7,2020
"Helpers--installation, maintenance, and repair workers",16,2020
"Other installation, maintenance, and repair workers",183,2020
"Production, transportation, and material moving occupations",18215,2020
Production occupations,7590,2020
First-line supervisors of production and operating workers,748,2020
"Aircraft structure, surfaces, rigging, and systems assemblers",4,2020
"Electrical, electronics, and electromechanical assemblers",91,2020
Engine and other machine assemblers,7,2020
Structural metal fabricators and fitters,21,2020
Other assemblers and fabricators,872,2020
Bakers,235,2020
"Butchers and other meat, poultry, and fish processing workers",266,2020
"Food and tobacco roasting, baking, and drying machine operators and tenders",10,2020
Food batchmakers,94,2020
Food cooking machine operators and tenders,13,2020
"Food processing workers, all other",125,2020
Computer numerically controlled tool operators and programmers,105,2020
"Forming machine setters, operators, and tenders, metal and plastic",28,2020
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",72,2020
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",41,2020
"Other machine tool setters, operators, and tenders, metal and plastic",7,2020
Machinists,290,2020
"Metal furnace operators, tenders, pourers, and casters",21,2020
"Model makers and patternmakers, metal and plastic",8,2020
"Molders and molding machine setters, operators, and tenders, metal and plastic",35,2020
Tool and die makers,37,2020
"Welding, soldering, and brazing workers",520,2020
Other metal workers and plastic workers,341,2020
Prepress technicians and workers,13,2020
Printing press operators,128,2020
Print binding and finishing workers,17,2020
Laundry and dry-cleaning workers,120,2020
"Pressers, textile, garment, and related materials",25,2020
Sewing machine operators,131,2020
Shoe and leather workers,12,2020
"Tailors, dressmakers, and sewers",64,2020
"Textile machine setters, operators, and tenders",16,2020
Upholsterers,24,2020
"Other textile, apparel, and furnishings workers",13,2020
Cabinetmakers and bench carpenters,50,2020
Furniture finishers,13,2020
"Sawing machine setters, operators, and tenders, wood",28,2020
"Woodworking machine setters, operators, and tenders, except sawing",13,2020
Other woodworkers,23,2020
"Power plant operators, distributors, and dispatchers",41,2020
Stationary engineers and boiler operators,56,2020
Water and wastewater treatment plant and system operators,112,2020
Miscellaneous plant and system operators,43,2020
"Chemical processing machine setters, operators, and tenders",49,2020
"Crushing, grinding, polishing, mixing, and blending workers",79,2020
Cutting workers,54,2020
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",23,2020
"Furnace, kiln, oven, drier, and kettle operators and tenders",12,2020
"Inspectors, testers, sorters, samplers, and weighers",751,2020
Jewelers and precious stone and metal workers,48,2020
Dental and ophthalmic laboratory technicians and medical appliance technicians,74,2020
Packaging and filling machine operators and tenders,252,2020
Painting workers,148,2020
Photographic process workers and processing machine operators,10,2020
Adhesive bonding machine operators and tenders,11,2020
Etchers and engravers,5,2020
"Molders, shapers, and casters, except metal and plastic",26,2020
"Paper goods machine setters, operators, and tenders",22,2020
Tire builders,2,2020
Helpers--production workers,38,2020
Other production equipment operators and tenders,8,2020
Other production workers,1046,2020
Transportation and material moving occupations,10625,2020
Supervisors of transportation and material moving workers,265,2020
Aircraft pilots and flight engineers,155,2020
Air traffic controllers and airfield operations specialists,38,2020
Flight attendants,81,2020
"Ambulance drivers and attendants, except emergency medical technicians",10,2020
"Bus drivers, school",201,2020
"Bus drivers, transit and intercity",187,2020
Driver/sales workers and truck drivers,3364,2020
Shuttle drivers and chauffeurs,88,2020
Taxi drivers,327,2020
"Motor vehicle operators, all other",143,2020
Locomotive engineers and operators,55,2020
Railroad conductors and yardmasters,40,2020
Other rail transportation workers,12,2020
Sailors and marine oilers,19,2020
Ship and boat captains and operators,31,2020
Ship engineers,3,2020
Parking attendants,53,2020
Transportation service attendants,93,2020
Transportation inspectors,35,2020
Passenger attendants,21,2020
Other transportation workers,25,2020
Crane and tower operators,54,2020
"Conveyor, dredge, and hoist and winch operators",30,2020
Industrial truck and tractor operators,553,2020
Cleaners of vehicles and equipment,344,2020
"Laborers and freight, stock, and material movers, hand",1995,2020
Machine feeders and offbearers,11,2020
"Packers and packagers, hand",640,2020
Stockers and order fillers,1570,2020
Pumping station operators,20,2020
Refuse and recyclable material collectors,98,2020
Other material moving workers,62,2020
Total employed,152581,2021
"Management,  professional, and related occupations",64744,2021
"Management, business, and financial operations occupations",27864,2021
Management occupations,18986,2021
Chief executives,1664,2021
General and operations managers,1085,2021
Legislators,21,2021
Advertising and promotions managers,72,2021
Marketing managers,576,2021
Sales managers,537,2021
Public relations and fundraising managers,100,2021
Administrative services managers,60,2021
Facilities managers,146,2021
Computer and information systems managers,715,2021
Financial managers,1307,2021
Compensation and benefits managers,16,2021
Human resources managers,273,2021
Training and development managers,55,2021
Industrial production managers,256,2021
Purchasing managers,232,2021
"Transportation, storage, and distribution managers",314,2021
"Farmers, ranchers, and other agricultural managers",875,2021
Construction managers,999,2021
Education and childcare administrators,956,2021
Architectural and engineering managers,178,2021
Food service managers,1133,2021
Funeral home managers,9,2021
Entertainment and recreation managers,43,2021
Lodging managers,116,2021
Medical and health services managers,791,2021
Natural sciences managers,21,2021
Postmasters and mail superintendents,16,2021
"Property, real estate, and community association managers",780,2021
Social and community service managers,391,2021
Emergency management directors,13,2021
"Personal service managers, all other",1,2021
"Managers, all other",5235,2021
Business and financial operations occupations,8878,2021
"Agents and business managers of artists, performers, and athletes",40,2021
"Buyers and purchasing agents, farm products",11,2021
"Wholesale and retail buyers, except farm products",159,2021
"Purchasing agents, except wholesale, retail, and farm products",223,2021
"Claims adjusters, appraisers, examiners, and investigators",330,2021
Compliance officers,291,2021
Cost estimators,127,2021
Human resources workers,871,2021
"Compensation, benefits, and job analysis specialists",67,2021
Training and development specialists,166,2021
Logisticians,132,2021
Project management specialists,769,2021
Management analysts,1001,2021
"Meeting, convention, and event planners",116,2021
Fundraisers,93,2021
Market research analysts and marketing specialists,400,2021
"Business operations specialists, all other",584,2021
Accountants and auditors,1630,2021
Property appraisers and assessors,80,2021
Budget analysts,61,2021
Credit analysts,38,2021
Financial and investment analysts,343,2021
Personal financial advisors,535,2021
Insurance underwriters,128,2021
Financial examiners,16,2021
Credit counselors and loan officers,440,2021
"Tax examiners and collectors, and revenue agents",63,2021
Tax preparers,101,2021
Other financial specialists,61,2021
Professional and related occupations,36880,2021
Computer and mathematical occupations,5688,2021
Computer and information research scientists,41,2021
Computer systems analysts,464,2021
Information security analysts,152,2021
Computer programmers,444,2021
Software developers,1932,2021
Software quality assurance analysts and testers,74,2021
Web developers,81,2021
Web and digital interface designers,64,2021
Computer support specialists,660,2021
Database administrators and architects,111,2021
Network and computer systems administrators,212,2021
Computer network architects,102,2021
"Computer occupations, all other",889,2021
Actuaries,29,2021
Mathematicians,0,2021
Operations research analysts,141,2021
Statisticians,45,2021
Other mathematical science occupations,245,2021
Architecture and engineering occupations,3235,2021
"Architects, except landscape and naval",212,2021
Landscape architects,27,2021
"Surveyors, cartographers, and photogrammetrists",41,2021
Aerospace engineers,129,2021
Agricultural engineers,8,2021
Bioengineers and biomedical engineers,15,2021
Chemical engineers,75,2021
Civil engineers,431,2021
Computer hardware engineers,88,2021
Electrical and electronics engineers,299,2021
Environmental engineers,33,2021
"Industrial engineers, including health and safety",216,2021
Marine engineers and naval architects,12,2021
Materials engineers,43,2021
Mechanical engineers,354,2021
"Mining and geological engineers, including mining safety engineers",8,2021
Nuclear engineers,11,2021
Petroleum engineers,16,2021
"Engineers, all other",666,2021
Architectural and civil drafters,32,2021
Other drafters,93,2021
Electrical and electronic engineering technologists and technicians,74,2021
"Other engineering technologists and technicians, except drafters",293,2021
Surveying and mapping technicians,57,2021
"Life, physical, and social science occupations",1640,2021
Agricultural and food scientists,32,2021
Biological scientists,94,2021
Conservation scientists and foresters,22,2021
Medical scientists,121,2021
"Life scientists, all other",8,2021
Astronomers and physicists,22,2021
Atmospheric and space scientists,11,2021
Chemists and materials scientists,94,2021
"Environmental scientists and specialists, including health",40,2021
"Geoscientists and hydrologists, except geographers",42,2021
"Physical scientists, all other",370,2021
Economists,21,2021
Survey researchers,1,2021
Clinical and counseling psychologists,13,2021
School psychologists,58,2021
Other psychologists,149,2021
Sociologists,2,2021
Urban and regional planners,28,2021
Miscellaneous social scientists and related workers,54,2021
Agricultural and food science technicians,30,2021
Biological technicians,18,2021
Chemical technicians,48,2021
Environmental science and geoscience technicians,15,2021
Nuclear technicians,2,2021
Social science research assistants,6,2021
"Other life, physical, and social science technicians",269,2021
Community and social service occupations,2777,2021
Substance abuse and behavioral disorder counselors,121,2021
"Educational, guidance, and career counselors and advisors",362,2021
Marriage and family therapists,44,2021
Mental health counselors,212,2021
Rehabilitation counselors,11,2021
"Counselors, all other",250,2021
"Child, family, and school social workers",54,2021
Healthcare social workers,77,2021
Mental health and substance abuse social workers,15,2021
"Social workers, all other",681,2021
Probation officers and correctional treatment specialists,88,2021
Social and human service assistants,194,2021
Other community and social service specialists,100,2021
Clergy,404,2021
"Directors, religious activities and education",67,2021
"Religious workers, all other",96,2021
Legal occupations,1805,2021
Lawyers,1085,2021
Judicial law clerks,24,2021
"Judges, magistrates, and other judicial workers",77,2021
Paralegals and legal assistants,431,2021
"Title examiners, abstractors, and searchers",107,2021
"Legal support workers, all other",80,2021
"Education, training, and library occupations",8946,2021
Postsecondary teachers,1154,2021
Preschool and kindergarten teachers,613,2021
Elementary and middle school teachers,3260,2021
Secondary school teachers,940,2021
Special education teachers,362,2021
Tutors,168,2021
Other teachers and instructors,737,2021
"Archivists, curators, and museum technicians",62,2021
Librarians and media collections specialists,158,2021
Library technicians,38,2021
Teaching assistants,1309,2021
Other educational instruction and library workers,145,2021
"Arts, design, entertainment, sports, and media occupations",3151,2021
Artists and related workers,286,2021
Commercial and industrial designers,11,2021
Fashion designers,33,2021
Floral designers,50,2021
Graphic designers,271,2021
Interior designers,123,2021
Merchandise displayers and window trimmers,27,2021
Other designers,389,2021
Actors,45,2021
Producers and directors,182,2021
Athletes and sports competitors,37,2021
Coaches and scouts,235,2021
"Umpires, referees, and other sports officials",17,2021
Dancers and choreographers,11,2021
Music directors and composers,52,2021
Musicians and singers,127,2021
"Disc jockeys, except radio",15,2021
"Entertainers and performers, sports and related workers, all other",43,2021
Broadcast announcers and radio disc jockeys,18,2021
"News analysts, reporters, and journalists",79,2021
Public relations specialists,122,2021
Editors,105,2021
Technical writers,71,2021
Writers and authors,261,2021
Interpreters and translators,93,2021
Court reporters and simultaneous captioners,28,2021
"Media and communication workers, all other",30,2021
"Broadcast, sound, and lighting technicians",87,2021
Photographers,192,2021
"Television, video, and film camera operators and editors",108,2021
"Media and communication equipment workers, all other",1,2021
Healthcare practitioners and technical occupations,9639,2021
Chiropractors,59,2021
Dentists,167,2021
Dietitians and nutritionists,117,2021
Optometrists,37,2021
Pharmacists,352,2021
Emergency medicine physicians,24,2021
Radiologists,26,2021
Other physicians,921,2021
Surgeons,59,2021
Physician assistants,165,2021
Podiatrists,8,2021
Audiologists,17,2021
Physical therapists,273,2021
Radiation therapists,15,2021
Recreational therapists,18,2021
Respiratory therapists,117,2021
Speech-language pathologists,187,2021
Exercise physiologists,6,2021
"Therapists, all other",242,2021
Veterinarians,104,2021
Registered nurses,3201,2021
Nurse anesthetists,35,2021
Nurse midwives,8,2021
Nurse practitioners,237,2021
Acupuncturists,24,2021
"Healthcare diagnosing or treating practitioners, all other",13,2021
Clinical laboratory technologists and technicians,369,2021
Dental hygienists,207,2021
Cardiovascular technologists and technicians,61,2021
Diagnostic medical sonographers,88,2021
Radiologic technologists and technicians,226,2021
Magnetic resonance imaging technologists,47,2021
Nuclear medicine technologists and medical dosimetrists,39,2021
Emergency medical technicians,145,2021
Paramedics,96,2021
Pharmacy technicians,342,2021
Psychiatric technicians,73,2021
Surgical technologists,113,2021
Veterinary technologists and technicians,129,2021
Dietetic technicians and ophthalmic medical technicians,66,2021
Licensed practical and licensed vocational nurses,533,2021
Medical records specialists,207,2021
"Opticians, dispensing",50,2021
Miscellaneous health technologists and technicians,177,2021
Other healthcare practitioners and technical occupations,105,2021
Service occupations,24403,2021
Healthcare support occupations,4887,2021
Home health aides,570,2021
Personal care aides,1411,2021
Nursing assistants,1248,2021
Orderlies and psychiatric aides,55,2021
Physical therapist assistants and aides,74,2021
Massage therapists,166,2021
Dental assistants,323,2021
Medical assistants,561,2021
Medical transcriptionists,45,2021
Pharmacy aides,35,2021
Veterinary assistants and laboratory animal caretakers,78,2021
Phlebotomists,114,2021
Other healthcare support workers,164,2021
Protective service occupations,2987,2021
First-line supervisors of correctional officers,38,2021
First-line supervisors of police and detectives,92,2021
First-line supervisors of firefighting and prevention workers,44,2021
First-line supervisors of security workers,75,2021
"First-line supervisors of protective service workers, all other",5,2021
Firefighters,294,2021
Fire inspectors,30,2021
Bailiffs,21,2021
Correctional officers and jailers,297,2021
Detectives and criminal investigators,130,2021
Fish and game wardens,6,2021
Parking enforcement workers,15,2021
Police officers,753,2021
Animal control workers,6,2021
Private detectives and investigators,95,2021
Security guards and gambling surveillance officers,844,2021
Crossing guards and flaggers,51,2021
Transportation security screeners,46,2021
School bus monitors,28,2021
Other protective service workers,117,2021
Food preparation and serving related occupations,7370,2021
Chefs and head cooks,402,2021
First-line supervisors of food preparation and serving workers,480,2021
Cooks,1905,2021
Food preparation workers,872,2021
Bartenders,362,2021
Fast food and counter workers,775,2021
Waiters and waitresses,1631,2021
"Food servers, nonrestaurant",172,2021
Dining room and cafeteria attendants and bartender helpers,243,2021
Dishwashers,243,2021
"Hosts and hostesses, restaurant, lounge, and coffee shop",282,2021
"Food preparation and serving related workers, all other",2,2021
Building and grounds cleaning and maintenance occupations,5482,2021
First-line supervisors of housekeeping and janitorial workers,338,2021
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",233,2021
Janitors and building cleaners,2113,2021
Maids and housekeeping cleaners,1357,2021
Pest control workers,119,2021
Landscaping and groundskeeping workers,1211,2021
Tree trimmers and pruners,98,2021
Other grounds maintenance workers,13,2021
Personal care and service occupations,3676,2021
Supervisors of personal care and service workers,250,2021
Animal trainers,54,2021
Animal caretakers,272,2021
Gambling services workers,66,2021
"Ushers, lobby attendants, and ticket takers",29,2021
Other entertainment attendants and related workers,192,2021
"Embalmers, crematory operators, and funeral attendants",14,2021
"Morticians, undertakers, and funeral arrangers",30,2021
Barbers,103,2021
"Hairdressers, hairstylists, and cosmetologists",713,2021
Manicurists and pedicurists,247,2021
Skincare specialists,90,2021
Other personal appearance workers,26,2021
"Baggage porters, bellhops, and concierges",84,2021
Tour and travel guides,42,2021
Childcare workers,974,2021
Exercise trainers and group fitness instructors,223,2021
Recreation workers,139,2021
Residential advisors,26,2021
"Personal care and service workers, all other",101,2021
Sales and office occupations,30166,2021
Sales and related occupations,14369,2021
First-line supervisors of retail sales workers,3058,2021
First-line supervisors of non-retail sales workers,1184,2021
Cashiers,2601,2021
Counter and rental clerks,81,2021
Parts salespersons,124,2021
Retail salespersons,2750,2021
Advertising sales agents,104,2021
Insurance sales agents,600,2021
"Securities, commodities, and financial services sales agents",243,2021
Travel agents,56,2021
"Sales representatives of services, except advertising, insurance, financial services, and travel",565,2021
"Sales representatives, wholesale and manufacturing",1216,2021
"Models, demonstrators, and product promoters",30,2021
Real estate brokers and sales agents,1170,2021
Sales engineers,41,2021
Telemarketers,33,2021
"Door-to-door sales workers, news and street vendors, and related workers",104,2021
"Sales and related workers, all other",410,2021
Office and administrative support occupations,15797,2021
First-line supervisors of office and administrative support workers,1217,2021
"Switchboard operators, including answering service",8,2021
Telephone operators,23,2021
"Communications equipment operators, all other",5,2021
Bill and account collectors,97,2021
Billing and posting clerks,483,2021
"Bookkeeping, accounting, and auditing clerks",1097,2021
Gambling cage workers,15,2021
Payroll and timekeeping clerks,153,2021
Procurement clerks,29,2021
Tellers,215,2021
"Financial clerks, all other",92,2021
Brokerage clerks,9,2021
Correspondence clerks,7,2021
"Court, municipal, and license clerks",77,2021
"Credit authorizers, checkers, and clerks",41,2021
Customer service representatives,2512,2021
"Eligibility interviewers, government programs",60,2021
File Clerks,161,2021
"Hotel, motel, and resort desk clerks",119,2021
"Interviewers, except eligibility and loan",203,2021
"Library assistants, clerical",88,2021
Loan interviewers and clerks,144,2021
New accounts clerks,12,2021
Order clerks,112,2021
"Human resources assistants, except payroll and timekeeping",38,2021
Receptionists and information clerks,1215,2021
Reservation and transportation ticket agents and travel clerks,93,2021
"Information and record clerks, all other",107,2021
Cargo and freight agents,10,2021
Couriers and messengers,837,2021
Public safety telecommunicators,88,2021
"Dispatchers, except police, fire, and ambulance",189,2021
"Meter readers, utilities",33,2021
Postal service clerks,105,2021
Postal service mail carriers,273,2021
"Postal service mail sorters, processors, and processing machine operators",82,2021
"Production, planning, and expediting clerks",212,2021
"Shipping, receiving, and inventory clerks",615,2021
"Weighers, measurers, checkers, and samplers, recordkeeping",49,2021
Executive secretaries and executive administrative assistants,223,2021
Legal secretaries and administrative assistants,49,2021
Medical secretaries and administrative assistants,58,2021
"Secretaries and administrative assistants, except legal, medical, and executive",2009,2021
Data entry keyers,220,2021
Word processors and typists,37,2021
Desktop publishers,1,2021
Insurance claims and policy processing clerks,257,2021
"Mail clerks and mail machine operators, except postal service",53,2021
"Office clerks, general",1249,2021
"Office machine operators, except computer",27,2021
Proofreaders and copy markers,10,2021
Statistical assistants,45,2021
"Office and administrative support workers, all other",639,2021
"Natural resources, construction, and maintenance occupations",13959,2021
"Farming, fishing, and forestry occupations",1061,2021
"First-line supervisors of farming, fishing, and forestry workers",49,2021
Agricultural inspectors,10,2021
Animal breeders,12,2021
"Graders and sorters, agricultural products",53,2021
Miscellaneous agricultural workers,835,2021
Fishing and hunting workers,31,2021
Forest and conservation workers,21,2021
Logging workers,51,2021
Construction and extraction occupations,8057,2021
First-line supervisors of construction trades and extraction workers,650,2021
Boilermakers,21,2021
"Brickmasons, blockmasons, and stonemasons",97,2021
Carpenters,1230,2021
"Carpet, floor, and tile installers and finishers",156,2021
"Cement masons, concrete finishers, and terrazzo workers",67,2021
Construction laborers,2165,2021
Construction equipment operators,360,2021
"Drywall installers, ceiling tile installers, and tapers",155,2021
Electricians,845,2021
Glaziers,53,2021
Insulation workers,48,2021
Painters and paperhangers,556,2021
Pipelayers,37,2021
"Plumbers, pipefitters, and steamfitters",587,2021
Plasterers and stucco masons,22,2021
Reinforcing iron and rebar workers,10,2021
Roofers,221,2021
Sheet metal workers,125,2021
Structural iron and steel workers,41,2021
Solar photovoltaic installers,23,2021
"Helpers, construction trades",71,2021
Construction and building inspectors,103,2021
Elevator and escalator installers and repairers,38,2021
Fence erectors,41,2021
Hazardous materials removal workers,27,2021
Highway maintenance workers,99,2021
Rail-track laying and maintenance equipment operators,15,2021
Septic tank servicers and sewer pipe cleaners,11,2021
Miscellaneous construction and related workers,26,2021
"Derrick, rotary drill, and service unit operators, oil and gas",21,2021
"Excavating and loading machine and dragline operators, surface mining",4,2021
"Earth drillers, except oil and gas",27,2021
"Explosives workers, ordnance handling experts, and blasters",14,2021
Underground mining machine operators,33,2021
"Roustabouts, oil and gas",3,2021
Other extraction workers,55,2021
"Installation, maintenance, and repair occupations",4840,2021
"First-line supervisors of mechanics, installers, and repairers",222,2021
"Computer, automated teller, and office machine repairers",176,2021
Radio and telecommunications equipment installers and repairers,155,2021
Avionics technicians,5,2021
"Electric motor, power tool, and related repairers",21,2021
