occupation,avg_annual_growth,2019,2023,growth_2019_2023
Computer and information systems managers,5.313455657492354,654.0,793.0,21.253822629969417
Business and financial operations occupations,5.133816908454227,7996.0,9638.0,20.535267633816908
Writers and authors,5.111111111111112,225.0,271.0,20.444444444444446
Tax preparers,4.896907216494846,97.0,116.0,19.587628865979383
"Sales and related workers, all other",4.841549295774648,284.0,339.0,19.366197183098592
"Bookkeeping, accounting, and auditing clerks",4.80295566502463,1015.0,1210.0,19.21182266009852
Control and valve installers and repairers,4.545454545454546,22.0,26.0,18.181818181818183
Financial managers,4.543551088777219,1194.0,1411.0,18.174204355108877
"Coin, vending, and amusement machine servicers and repairers",4.464285714285714,28.0,33.0,17.857142857142858
"Heating, air conditioning, and refrigeration mechanics and installers",4.291845493562231,466.0,546.0,17.167381974248926
Sales engineers,4.285714285714286,35.0,41.0,17.142857142857142
Riggers,4.166666666666666,12.0,14.0,16.666666666666664
Cleaners of vehicles and equipment,4.142441860465116,344.0,401.0,16.569767441860463
Cost estimators,4.133858267716536,127.0,148.0,16.535433070866144
Transportation and material moving occupations,4.081784756036967,10063.0,11706.0,16.32713902414787
"Maintenance and repair workers, general",4.015544041450777,579.0,672.0,16.06217616580311
"Meeting, convention, and event planners",3.9383561643835616,146.0,169.0,15.753424657534246
"Engineers, all other",3.7371134020618557,582.0,669.0,14.948453608247423
Packaging and filling machine operators and tenders,3.7213740458015265,262.0,301.0,14.885496183206106
Insurance claims and policy processing clerks,3.62453531598513,269.0,308.0,14.49814126394052
"Purchasing agents, except wholesale, retail, and farm products",3.584229390681003,279.0,319.0,14.336917562724013
Construction managers,3.571428571428571,994.0,1136.0,14.285714285714285
Automotive glass installers and repairers,3.571428571428571,21.0,24.0,14.285714285714285
"Claims adjusters, appraisers, examiners, and investigators",3.459119496855346,318.0,362.0,13.836477987421384
"Earth drillers, except oil and gas",3.4090909090909087,22.0,25.0,13.636363636363635
Biological scientists,3.3653846153846154,104.0,118.0,13.461538461538462
"Management, business, and financial operations occupations",3.3013972795671025,26981.0,30544.0,13.20558911826841
Refuse and recyclable material collectors,3.2828282828282833,99.0,112.0,13.131313131313133
"Electrical, electronics, and electromechanical assemblers",3.217821782178218,101.0,114.0,12.871287128712872
"Property, real estate, and community association managers",3.205128205128205,780.0,880.0,12.82051282051282
"Food servers, nonrestaurant",3.1413612565445024,191.0,215.0,12.56544502617801
Chemical technicians,3.125,56.0,63.0,12.5
Tire builders,3.125,8.0,9.0,12.5
Phlebotomists,3.024193548387097,124.0,139.0,12.096774193548388
Compliance officers,2.936241610738255,298.0,333.0,11.74496644295302
Management analysts,2.8947368421052633,950.0,1060.0,11.578947368421053
Printing press operators,2.819548872180451,133.0,148.0,11.278195488721805
Solar photovoltaic installers,2.7777777777777777,18.0,20.0,11.11111111111111
Chief executives,2.7777777777777777,1602.0,1780.0,11.11111111111111
Customer service representatives,2.644984326018809,2552.0,2822.0,10.579937304075235
Training and development specialists,2.6,125.0,138.0,10.4
Industrial truck and tractor operators,2.539404553415061,571.0,629.0,10.157618213660244
Management occupations,2.5296286542006845,18985.0,20906.0,10.118514616802738
Podiatrists,2.5,10.0,11.0,10.0
"Packers and packagers, hand",2.4681528662420384,628.0,690.0,9.872611464968154
Fundraisers,2.4193548387096775,93.0,102.0,9.67741935483871
Construction and building inspectors,2.380952380952381,105.0,115.0,9.523809523809524
