occupation,2019,2020,2021,2022,2023
"Communications equipment operators, all other",12.0,8.0,5.0,5.0,1.0
Community and social service occupations,2717.0,2717.0,2777.0,2945.0,2879.0
Compensation and benefits managers,24.0,18.0,16.0,18.0,16.0
"Compensation, benefits, and job analysis specialists",51.0,74.0,67.0,65.0,65.0
Compliance officers,298.0,305.0,291.0,294.0,333.0
Computer and information research scientists,24.0,42.0,41.0,41.0,44.0
Computer and information systems managers,654.0,744.0,715.0,764.0,793.0
Computer and mathematical occupations,5352.0,5603.0,5688.0,6171.0,6502.0
Computer control programmers and operators,108.0,,,,
Computer hardware engineers,77.0,89.0,88.0,90.0,71.0
Computer network architects,106.0,107.0,102.0,98.0,104.0
Computer numerically controlled tool operators and programmers,,105.0,90.0,78.0,100.0
"Computer occupations, all other",808.0,792.0,889.0,969.0,1197.0
Computer operators,72.0,,,,
Computer programmers,454.0,417.0,444.0,457.0,402.0
Computer support specialists,547.0,660.0,660.0,704.0,687.0
Computer systems analysts,663.0,594.0,464.0,501.0,513.0
"Computer, automated teller, and office machine repairers",184.0,190.0,176.0,177.0,134.0
Conservation scientists and foresters,20.0,19.0,22.0,29.0,32.0
Construction and building inspectors,105.0,116.0,103.0,113.0,115.0
Construction and extraction occupations,8325.0,7710.0,8057.0,8427.0,8457.0
Construction equipment operators,,359.0,360.0,369.0,395.0
Construction laborers,2051.0,1902.0,2165.0,2227.0,2223.0
Construction managers,994.0,966.0,999.0,1057.0,1136.0
Control and valve installers and repairers,22.0,28.0,20.0,18.0,26.0
Conveyor operators and tenders,2.0,,,,
"Conveyor, dredge, and hoist and winch operators",,30.0,35.0,29.0,37.0
Cooks,2031.0,1763.0,1905.0,2012.0,2016.0
Cooling and freezing equipment operators and tenders,2.0,,,,
Correctional officers and jailers,,346.0,297.0,285.0,300.0
Correspondence clerks,5.0,4.0,7.0,3.0,4.0
Cost estimators,127.0,121.0,127.0,140.0,148.0
Counselors,927.0,,,,
"Counselors, all other",,225.0,250.0,248.0,255.0
Counter and rental clerks,97.0,69.0,81.0,83.0,79.0
"Counter attendants, cafeteria, food concession, and coffee shop",200.0,,,,
Couriers and messengers,402.0,578.0,837.0,936.0,929.0
Court reporters and simultaneous captioners,,31.0,28.0,32.0,21.0
"Court, municipal, and license clerks",95.0,76.0,77.0,84.0,82.0
Crane and tower operators,63.0,54.0,56.0,60.0,60.0
Credit analysts,28.0,30.0,38.0,51.0,44.0
"Credit authorizers, checkers, and clerks",41.0,55.0,41.0,45.0,32.0
Credit counselors and loan officers,403.0,400.0,440.0,391.0,343.0
Crossing guards,52.0,,,,
Crossing guards and flaggers,,46.0,51.0,48.0,51.0
"Crushing, grinding, polishing, mixing, and blending workers",90.0,79.0,76.0,76.0,87.0
Customer service representatives,2552.0,2404.0,2512.0,2714.0,2822.0
Cutting workers,60.0,54.0,53.0,57.0,56.0
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",70.0,72.0,70.0,60.0,74.0
Dancers and choreographers,23.0,7.0,11.0,22.0,16.0
Data entry keyers,250.0,228.0,220.0,237.0,224.0
Database administrators,106.0,,,,
Database administrators and architects,,121.0,111.0,137.0,122.0
Dental and ophthalmic laboratory technicians and medical appliance technicians,,74.0,73.0,95.0,76.0
Dental assistants,284.0,288.0,323.0,327.0,288.0
Dental hygienists,208.0,190.0,207.0,217.0,206.0
Dentists,162.0,173.0,167.0,140.0,164.0
"Derrick, rotary drill, and service unit operators, oil and gas",,22.0,21.0,26.0,24.0
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",29.0,,,,
Designers,983.0,,,,
Desktop publishers,0.0,0.0,1.0,1.0,3.0
Detectives and criminal investigators,164.0,159.0,130.0,142.0,145.0
Diagnostic medical sonographers,,90.0,88.0,93.0,105.0
Diagnostic related technologists and technicians,398.0,,,,
Dietetic technicians and ophthalmic medical technicians,,66.0,66.0,68.0,70.0
Dietitians and nutritionists,128.0,106.0,117.0,141.0,114.0
Dining room and cafeteria attendants and bartender helpers,338.0,231.0,243.0,269.0,303.0
"Directors, religious activities and education",72.0,57.0,67.0,68.0,78.0
"Disc jockeys, except radio",,15.0,15.0,27.0,28.0
Dishwashers,264.0,184.0,243.0,235.0,268.0
Dispatchers,261.0,,,,
"Dispatchers, except police, fire, and ambulance",,205.0,189.0,181.0,184.0
"Door-to-door sales workers, news and street vendors, and related workers",135.0,114.0,104.0,73.0,73.0
Drafters,113.0,,,,
"Dredge, excavating, and loading machine operators",28.0,,,,
"Drilling and boring machine tool setters, operators, and tenders, metal 	and plastic",6.0,,,,
Driver/sales workers and truck drivers,3608.0,3364.0,3487.0,3539.0,3551.0
"Drywall installers, ceiling tile installers, and tapers",178.0,165.0,155.0,161.0,162.0
"Earth drillers, except oil and gas",22.0,25.0,27.0,27.0,25.0
Economists,35.0,26.0,21.0,29.0,28.0
Editors,147.0,99.0,105.0,104.0,125.0
Education administrators,958.0,,,,
Education and childcare administrators,,948.0,956.0,988.0,1108.0
"Education, training, and library occupations",9455.0,8902.0,8946.0,9220.0,9403.0
"Educational, guidance, and career counselors and advisors",,343.0,362.0,408.0,384.0
"Electric motor, power tool, and related repairers",16.0,19.0,21.0,20.0,22.0
Electrical and electronic engineering technologists and technicians,,82.0,74.0,90.0,97.0
Electrical and electronics engineers,285.0,268.0,299.0,296.0,250.0
"Electrical and electronics installers and repairers, transportation equipment",7.0,3.0,1.0,0.0,1.0
"Electrical and electronics repairers, industrial and utility",17.0,9.0,13.0,15.0,6.0
Electrical power-line installers and repairers,133.0,127.0,125.0,119.0,130.0
"Electrical, electronics, and electromechanical assemblers",101.0,91.0,110.0,102.0,114.0
Electricians,914.0,901.0,845.0,918.0,959.0
"Electronic equipment installers and repairers, motor vehicles",9.0,5.0,9.0,10.0,5.0
Electronic home entertainment equipment installers and repairers,32.0,,,,
Elementary and middle school teachers,3604.0,3371.0,3260.0,3336.0,3436.0
Elevator and escalator installers and repairers,,19.0,38.0,43.0,46.0
Elevator installers and repairers,20.0,,,,
"Eligibility interviewers, government programs",70.0,82.0,60.0,80.0,94.0
Embalmers and funeral attendants,15.0,,,,
"Embalmers, crematory operators, and funeral attendants",,14.0,14.0,28.0,21.0
Emergency management directors,7.0,12.0,13.0,22.0,12.0
Emergency medical technicians,,141.0,145.0,139.0,156.0
Emergency medical technicians and paramedics,206.0,,,,
Emergency medicine physicians,,17.0,24.0,21.0,27.0
Engine and other machine assemblers,9.0,7.0,7.0,8.0,15.0
"Engineering technicians, except drafters",496.0,,,,
"Engineers, all other",582.0,560.0,666.0,631.0,669.0
"Entertainers and performers, sports and related workers, all other",50.0,41.0,43.0,42.0,36.0
Entertainment and recreation managers,,40.0,43.0,65.0,81.0
Environmental engineers,25.0,33.0,33.0,47.0,38.0
Environmental science and geoscience technicians,,21.0,15.0,15.0,18.0
Environmental scientists and geoscientists,119.0,,,,
"Environmental scientists and specialists, including health",,46.0,40.0,33.0,46.0
Etchers and engravers,8.0,5.0,2.0,2.0,8.0
"Excavating and loading machine and dragline operators, surface mining",,5.0,4.0,3.0,10.0
Executive secretaries and executive administrative assistants,,196.0,223.0,244.0,210.0
Exercise physiologists,2.0,6.0,6.0,5.0,6.0
Exercise trainers and group fitness instructors,,202.0,223.0,234.0,257.0
"Explosives workers, ordnance handling experts, and blasters",8.0,6.0,14.0,7.0,8.0
